id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month,text_topic_modelling,text_EDA,text_sentiment_analysis,text_LSTM,60mins_price_diff_abs,60mins_price_diff_perc,45mins_price_diff_abs,45mins_price_diff_perc,30mins_price_diff_abs,30mins_price_diff_perc,15mins_price_diff_abs,15mins_price_diff_perc
9.3534e+17,Thank you Rand! https://t.co/NvPeleVmub,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11,thank rand,Thank you Rand! https://t.co/NvPeleVmub,Thank you Rand!,thank you rand,0.3849999999999909,0.0014745308310991608,0.11499999999995225,0.00044044427422425215,-0.010000000000047748,-3.829950210665549e-05,0.049999999999954525,0.0001914975105321889
8.99798e+17,"Join me live from Fort Myer in Arlington, Virginia. ➡️https://t.co/LOV4StdJDj",36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8,join live fort myer arlington virginia,"Join me live from Fort Myer in Arlington, Virginia. ➡️https://t.co/LOV4StdJDj","Join me live from Fort Myer in Arlington, Virginia. ➡️",join me live from fort myer in arlington virginia,0.5900000000000034,0.0024213075060532828,0.5900000000000034,0.0024213075060532828,-0.08999999999997499,-0.0003693519924487011,-0.03999999999999204,-0.00016415644108832455
8.9397e+17,Thank you Nicole! https://t.co/KlWN05uFOx,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5,thank nicole,Thank you Nicole! https://t.co/KlWN05uFOx,Thank you Nicole!,thank you nicole,0.06499999999999773,0.0002709744658676299,0.014999999999986358,6.253256904632145e-05,0.08500000000000796,0.000354351224596177,0.06499999999999773,0.0002709744658676299
8.81977e+17,Thank you to Shawn Steel for the nice words on @FoxNews.,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3,thank shawn steel nice word,Thank you to Shawn Steel for the nice words on @FoxNews.,Thank you to Shawn Steel for the nice words on .,thank you to shawn steel for the nice word on,0.14285714285716722,0.0006030781106769977,0.09600000000000364,0.0004052684903748887,0.12999999999999545,0.0005488010807159551,0.03499999999999659,0.00014775413711582485
8.78725e+17,MAKE AMERICA GREAT AGAIN!,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6,make america great,MAKE AMERICA GREAT AGAIN!,MAKE AMERICA GREAT AGAIN!,make america great again,0.005714285714276457,2.3484579242412056e-05,0.004285714285714448,1.7613434431838243e-05,0.0028571428571524393,1.174228962126443e-05,0.0014285714285620088,5.871144810573812e-06
8.74084e+17,"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!",50169,6877,2017-12-06 02:02:00,2017-12-06 10:02:00,2017-12-06,10:02:00,10,2017,12,daughter ivanka tomorrow morning enjoy,"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!","My daughter, Ivanka, will be on tomorrow morning. Enjoy!",my daughter ivanka will be on tomorrow morning enjoy,-0.03500000000002501,-0.0001328399278869912,-0.17000000000001592,-0.0006452225068792709,-0.2950000000000159,-0.0011196508207610434,-0.5049999999999955,-0.0019166903880823434
8.52985e+17,Weekly Address- https://t.co/tpZ7eqJLUH https://t.co/B2NQzj53ft,28250,5616,2017-04-14 20:41:00,2017-04-15 04:41:00,2017-04-15,04:41:00,4,2017,4,weekly address,Weekly Address- https://t.co/tpZ7eqJLUH https://t.co/B2NQzj53ft,Weekly Address-,weekly address,-0.00012499999999704414,-5.376207320190232e-07,-9.374999999067768e-05,-4.032155489837072e-07,-6.249999998431122e-05,-2.688103659483912e-07,-3.125000000636646e-05,-1.34405183035316e-07
8.32375e+17,'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh,79427,15157,2017-02-16 23:44:00,2017-02-17 07:44:00,2017-02-17,07:44:00,7,2017,2,trump sign bill undoing obama coal mining rule,'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh,'Trump signs bill undoing Obama coal mining rule',trump sign bill undoing obama coal mining rule,-0.18000000000000682,-0.0007685082401161593,-0.3100000000000023,-0.0013235419690889004,-0.18999999999999773,-0.0008112031423447943,-0.020000000000010232,-8.538980445739148e-05
1.0651e+18,AMERICA FIRST!,157446,34373,2018-11-21 04:40:00,2018-11-21 12:40:00,2018-11-21,12:40:00,12,2018,11,america first,AMERICA FIRST!,AMERICA FIRST!,america first,0.13999999999998636,0.0005253283302063278,-0.05500000000000682,-0.00020637898686681733,0.2400000000000091,0.0009005628517823981,0.27899999999999636,0.0010469043151969844
1.05848e+18,"JOBS, JOBS, JOBS! #MAGA https://t.co/ZqPjsPUX0t",50814,12836,2018-02-11 22:14:00,2018-02-12 06:14:00,2018-02-12,06:14:00,6,2018,2,job job job,"JOBS, JOBS, JOBS! #MAGA https://t.co/ZqPjsPUX0t","JOBS, JOBS, JOBS!",job job job,-0.17000000000001592,-0.0006423092908150373,-0.36000000000001364,-0.0013601843805494149,-0.160000000000025,-0.000604526391355367,0.06999999999999318,0.000264480296217906
